url,price,title
https://www.olx.com.pk/item/xbox-360-with-60-gb-hard-jtag-installed-IDWfPZe.html,"Rs 11,500",Xbox 360 with 60 GB Hard JTAG installed.
https://www.olx.com.pk/item/gaming-pc-2-year-warranty-better-then-ps4-xbox-outclass-performance-IDWKtcD.html,"Rs 31,000",Gaming PC 2 year warranty better then ps4 xbox outclass performance
https://www.olx.com.pk/item/gaming-pc-all-gaming-consoles-in-warranty-lower-price-online-gaming-IDV0AG6.html,"Rs 27,000",Gaming PC & all gaming consoles in warranty lower price online gaming
https://www.olx.com.pk/item/geforce-gtx-1070-ti-gaming-8g-IDV3i02.html,"Rs 59,000",GeForce GTX 1070 Ti Gaming 8G
https://www.olx.com.pk/item/rfid-tags-readers-IDWOhQ0.html,Rs 100,RFID Tags & Readers
https://www.olx.com.pk/item/smart-interactive-white-boards-for-smart-class-rooms-IDEofMB.html,"Rs 99,999",Smart Interactive White Boards for Smart Class rooms
https://www.olx.com.pk/item/gaming-graphics-work-laptops-hp-8560w-i7-8740w-i7-dell-m4600-i7-IDV0KzR.html,"Rs 20,000",Gaming & Graphics Work Laptops hp 8560w i7 / 8740w i7/ Dell m4600 i7
https://www.olx.com.pk/item/laptop-dell-latitude-3330-1-5ghz-2gb-160gb-slim-book-fattani-computer-IDWZ9YH.html,"Rs 8,500",Laptop Dell Latitude 3330 1.5ghz 2gb 160gb Slim Book Fattani Computer
https://www.olx.com.pk/item/acer-touchscreen-tablet-laptop-dual-core-2gb-ram-32gb-ssd-wifi-IDV2JfY.html,"Rs 4,900",Acer touchscreen tablet + Laptop Dual Core 2gb ram 32gb ssd WiFi
https://www.olx.com.pk/item/asus-msi-evga-zotac-nvidia-gtx-1070ti-gtx-1060-gaming-graphics-cards-IDV1ayV.html,"Rs 68,499","Asus msi evga zotac nvidia gtx 1070ti ,gtx 1060 gaming graphics cards"
https://www.olx.com.pk/item/imported-glossy-laptops-with-warranty-timing-10am-to-10pm-sunday-open-IDWQDUA.html,"Rs 11,500",Imported Glossy Laptops with WARRANTY Timing 10am to 10pm +SUNDAY OPEN
https://www.olx.com.pk/item/32-inch-led-imported-42-inch-led-23999-with-warranty-IDUT6Oc.html,"Rs 13,999",32 inch led imported 42 inch led 23999 with warranty
https://www.olx.com.pk/item/home-cinema-projector-builtin-dvd-player-and-sound-IDUAG8I.html,"Rs 39,999",Home Cinema Projector Builtin DVD Player and Sound
https://www.olx.com.pk/item/h96pro-android-smart-tv-box-4k-octa-core-3gb-ram-32gb-rom-IDWi6b0.html,"Rs 7,600",H96PRO+ Android Smart Tv Box 4K Octa Core 3GB RAM 32GB ROM
https://www.olx.com.pk/item/malysian-import-led-smart-tvs-IDWNHHF.html,"Rs 15,500",Malysian Import LED Smart TVs پاکستان میں سب سے سستی ترین
https://www.olx.com.pk/item/ps4-original-games-IDW7EJG.html,"Rs 3,700",Ps4 Original Games
https://www.olx.com.pk/item/fresh-importsamsung-globel-led-tv-whole-salr-IDWuW5u.html,"Rs 14,499",Fresh import)SAMSUNG Globel LED TV whole SALR
https://www.olx.com.pk/item/wholesale-price-42inch-samsung-smart-led-tv-IDWRP24.html,"Rs 30,000",Wholesale price 42inch samsung smart led tv
https://www.olx.com.pk/item/samsung-led-tv-new-with-warranty-in-wholesale-price-IDV3iA7.html,"Rs 9,500",Samsung LED TV New with Warranty in Wholesale Price
https://www.olx.com.pk/item/dish-tv-hd-genuine-with-one-month-package-dish-tv-recharge-IDWUxbH.html,"Rs 9,500",Dish tv HD Genuine with One Month Package Dish tv Recharge
